Soda Hall,-122.25871,37.87567
Goldman School,-122.25804,37.87559
Upper Hearst Parking Structure,-122.25735,37.87576
Stern Hall,-122.25553,37.87481
Martinez Commons,-122.257665,37.866744
Anna Head Alumnae Hall,-122.25744,37.86637
Fox Cottage,-122.256787,37.867561
2334 Bowditch,-122.256863,37.867743
2440 Bancroft Way,-122.260674,37.868283
Magnes Collection of Jewish Art and Life,-122.26686,37.8698
2521 Channing Way,-122.257882,37.867318
2515 Channing Way,-122.25814,37.867215
Minor Hall Addition,-122.255141,37.871354
Clark Kerr Campus,-122.2492,37.86442
Hellman Tennis Center,-122.26514,37.86995
Lawrence Hall of Science,-122.24662,37.87942
Haas Clubhouse,-122.246043,37.872505
Space Sciences Laboratory,-122.24431,37.88071
Mathematical Sciences Research Institute,-122.24434,37.87981
2224 Piedmont Ave.,-122.253048,37.870983
CNMAT,-122.264499,37.876666
2108 Allston Way,-122.267342,37.869401
1925 Walnut St,-122.266787,37.873014
2451 Ridge Road,-122.261071,37.876213
2483 Hearst Ave.,-122.260593,37.875127
2481 Hearst Ave.,-122.260488,37.875161
Investigative Reporting Program,-122.260488,37.875161
Graduate Theological Union,-122.261843,37.875544
Maxwell Family Field and Stadium Garage,-122.25272,37.8723
Jacobs Hall,-122.258809,37.876039
Legends Aquatic Center,-122.2654439,37.8671309
